data: m0:5uM_M0:0.0uM_L0:10000  X	data: m0:5uM_M0:0.0uM_L0:10000  Y	data: m0:5uM_M0:0.0uM_L0:10000  X	data: m0:5uM_M0:0.0uM_L0:10000  Y	data: m0:5uM_M0:0.0uM_L0:10000  X	data: m0:5uM_M0:0.0uM_L0:10000  Y	data: m0:5uM_M0:0.001uM_L0:10000  X	data: m0:5uM_M0:0.001uM_L0:10000  Y	data: m0:5uM_M0:0.001uM_L0:10000  X	data: m0:5uM_M0:0.001uM_L0:10000  Y	data: m0:5uM_M0:0.010uM_L0:10000  X	data: m0:5uM_M0:0.010uM_L0:10000  Y	data: m0:5uM_M0:0.010uM_L0:10000  X	data: m0:5uM_M0:0.010uM_L0:10000  Y	data: m0:5uM_M0:0.010uM_L0:10000  X	data: m0:5uM_M0:0.010uM_L0:10000  Y	data: m0:5uM_M0:0.100uM_L0:10000  X	data: m0:5uM_M0:0.100uM_L0:10000  Y	data: m0:5uM_M0:0.100uM_L0:10000  X	data: m0:5uM_M0:0.100uM_L0:10000  Y	data: m0:5uM_M0:0.100uM_L0:10000  X	data: m0:5uM_M0:0.100uM_L0:10000  Y
6.92	0.647520861	6.92	0.718241438	6.92	0.630605785	6.92	0.702517995	6.92	0.724269981	6.92	0.757603727	6.92	0.712950666	6.92	0.727830041	6.92	0.900154154	6.92	0.802205796	6.92	0.920759346
7	0.678833373	7	0.759591586	7	0.669645455	7	0.759664188	7	0.716797913	7	0.768978229	7	0.689822849	7	0.730902171	7	0.908873021	7	0.822996138	7	0.894550234
7.08	0.694287613	7.08	0.741862678	7.08	0.650467186	7.08	0.750474098	7.08	0.77112352	7.08	0.801244673	7.08	0.757291645	7.08	0.768941346	7.08	0.884832649	7.08	0.826158423	7.08	0.955064252
7.17	0.685828184	7.17	0.726495893	7.17	0.677767123	7.17	0.757868079	7.17	0.749136042	7.17	0.804494531	7.17	0.74367632	7.17	0.737184503	7.17	0.90637587	7.17	0.851153932	7.17	0.917079439
7.25	0.675752626	7.25	0.777060921	7.25	0.684471927	7.25	0.780499049	7.25	0.767571226	7.25	0.77703655	7.25	0.803972757	7.25	0.811916641	7.25	0.911116225	7.25	0.856502904	7.25	0.959357477
7.33	0.711585251	7.33	0.768001786	7.33	0.692391186	7.33	0.776487739	7.33	0.785485815	7.33	0.791097159	7.33	0.778626372	7.33	0.777329295	7.33	0.931559006	7.33	0.888428526	7.33	0.976325935
7.42	0.723630467	7.42	0.784718356	7.42	0.71741402	7.42	0.796364676	7.42	0.788364398	7.42	0.829233244	7.42	0.79029665	7.42	0.754340102	7.42	0.916364475	7.42	0.846948766	7.42	0.94521028
7.5	0.730322254	7.5	0.844056987	7.5	0.705648987	7.5	0.794359021	7.5	0.786220772	7.5	0.795772974	7.5	0.817375342	7.5	0.78906552	7.5	0.879330451	7.5	0.904576365	7.5	0.947622664
7.58	0.743503811	7.58	0.800422587	7.58	0.713391138	7.58	0.821600004	7.58	0.810535616	7.58	0.854701516	7.58	0.819928216	7.58	0.78947974	7.58	0.901889462	7.58	0.871675144	7.58	0.996320093
7.67	0.741079617	7.67	0.817891921	7.67	0.718577873	7.67	0.813397774	7.67	0.812066777	7.67	0.838518551	7.67	0.846338298	7.67	0.801423075	7.67	0.895329149	7.67	0.863399376	7.67	0.95776285
7.75	0.757114653	7.75	0.840630609	7.75	0.737376625	7.75	0.85485795	7.75	0.836259128	7.75	0.863622044	7.75	0.832905322	7.75	0.783128371	7.75	0.92533729	7.75	0.886780101	7.75	0.952324766
7.83	0.736483748	7.83	0.860591855	7.83	0.733100731	7.83	0.826269886	7.83	0.814761621	7.83	0.856558578	7.83	0.810476506	7.83	0.808326737	7.83	0.924744746	7.83	0.888193037	7.83	0.96271028
7.92	0.743655323	7.92	0.85363527	7.92	0.74167782	7.92	0.85282236	7.92	0.845905445	7.92	0.877317873	7.92	0.82813388	7.92	0.828554465	7.92	0.891054365	7.92	0.880590096	7.92	0.98401285
8	0.767568992	8	0.851818251	8	0.748382624	8	0.856713929	8	0.870404028	8	0.842365322	8	0.851991089	8	0.813435446	8	0.941335989	8	0.935459107	8	0.932535047
8.08	0.792922026	8.08	0.856698244	8.08	0.752835626	8.08	0.83734589	8.08	0.864554991	8.08	0.833312147	8.08	0.845760863	8.08	0.824308713	8.08	0.940997392	8.08	0.876956833	8.08	0.981886682
8.17	0.809790379	8.17	0.89807435	8.17	0.806651165	8.17	0.872220335	8.17	0.85714417	8.17	0.882623763	8.17	0.841384508	8.17	0.871426204	8.17	0.918946276	8.17	0.884290643	8.17	0.947295561
8.25	0.811406508	8.25	0.893921165	8.25	0.78646085	8.25	0.87853665	8.25	0.886144367	8.25	0.894926795	8.25	0.850562696	8.25	0.832662144	8.25	0.90637587	8.25	0.924121978	8.25	0.968516355
8.33	0.826204195	8.33	0.888522024	8.33	0.782184956	8.33	0.895240462	8.33	0.870097795	8.33	0.890582598	8.33	0.872566033	8.33	0.875016109	8.33	0.941505287	8.33	0.940639872	8.33	0.978615654
8.42	0.787341328	8.42	0.886834793	8.42	0.79394999	8.42	0.867161295	8.42	0.872915132	8.42	0.854469383	8.42	0.853176352	8.42	0.860173236	8.42	0.919496496	8.42	0.901447721	8.42	0.971542056
