m0:7uM_M0:0_L0:10000 X	m0:7uM_M0:0_L0:10000 Y	m0:6uM_M0:0_L0:10000 X	m0:6uM_M0:0_L0:10000 Y	m0:5uM_M0:0_L0:10000 X	m0:5uM_M0:0_L0:10000 Y	m0:4uM_M0:0_L0:10000 X	m0:4uM_M0:0_L0:10000 Y	m0:3uM_M0:0_L0:10000 X	m0:3uM_M0:0_L0:10000 Y	m0:2uM_M0:0_L0:10000 X	m0:2uM_M0:0_L0:10000 Y
6.25	0.795733717	6.25	0.807829707	6.25	0.76837001	6.25	0.698700374	6.25	0.45265561	6.25	0.261641859
6.25	0.786838764	6.25	0.801356785	6.25	0.766056225	6.25	0.710540627	6.25	0.533805999	6.25	0.26419161
6.25	0.779022216	6.25	0.806458567	6.25	0.767175663	6.25	0.696713006	6.25	0.541355231	6.25	0.307071738
6.25	0.806165789	6.25	0.801791977	6.25	0.781198222	6.25	0.693051758	6.25	0.562031887	6.25	0.329019634
6.25	0.794851445	6.25	0.817466088	6.25	0.767229446	6.25	0.669465246	6.25	0.613796184	6.25	0.357645626
6.25	0.804098492	6.25	0.821336039	6.25	0.764207869	6.25	0.726328231	6.25	0.600111003	6.25	0.381368501
6.25	0.790120194	6.25	0.815886429	6.25	0.775969169	6.25	0.749805189	6.25	0.618705331	6.25	0.385164842
6.5	0.806709164	6.5	0.815075652	6.5	0.7813415	6.5	0.715823001	6.5	0.482029318	6.5	0.278712523
6.5	0.79795541	6.5	0.816803439	6.5	0.788589539	6.5	0.730607606	6.5	0.546871913	6.5	0.281427692
6.5	0.789867368	6.5	0.815814268	6.5	0.784902522	6.5	0.714024071	6.5	0.559304184	6.5	0.31941941
6.5	0.821984705	6.5	0.812455492	6.5	0.797236807	6.5	0.712756649	6.5	0.594047598	6.5	0.345515577
6.5	0.808966693	6.5	0.8275181	6.5	0.777893891	6.5	0.685512742	6.5	0.636469505	6.5	0.371418425
6.5	0.81371786	6.5	0.830983745	6.5	0.789570742	6.5	0.750117656	6.5	0.636350418	6.5	0.397694408
6.5	0.803471222	6.5	0.824750155	6.5	0.784585806	6.5	0.758424493	6.5	0.618262668	6.5	0.39567706
6.75	0.826091126	6.75	0.834102702	6.75	0.799791891	6.75	0.74094964	6.75	0.501635807	6.75	0.284950402
6.75	0.81522615	6.75	0.829384074	6.75	0.810834995	6.75	0.750139922	6.75	0.566450032	6.75	0.305521111
6.75	0.834443478	6.75	0.833078709	6.75	0.800340678	6.75	0.746516302	6.75	0.595353746	6.75	0.340761135
6.75	0.811557673	6.75	0.826174772	6.75	0.811303511	6.75	0.733823419	6.75	0.622338542	6.75	0.373845325
6.75	0.823532716	6.75	0.842716222	6.75	0.792639939	6.75	0.707590952	6.75	0.671237721	6.75	0.409581265
6.75	0.831749114	6.75	0.847378939	6.75	0.7993993	6.75	0.769121195	6.75	0.660045982	6.75	0.433341015
6.75	0.81877239	6.75	0.84323828	6.75	0.810804699	6.75	0.776935388	6.75	0.644771075	6.75	0.430757461
7	0.841071656	7	0.848967525	7	0.822188137	7	0.767135976	7	0.529956877	7	0.312865889
7	0.848907331	7	0.843246172	7	0.819929278	7	0.766904567	7	0.597379852	7	0.321754532
7	0.831182219	7	0.848635541	7	0.82140523	7	0.752298593	7	0.621523198	7	0.366353048
7	0.828202949	7	0.845438236	7	0.831993547	7	0.756107408	7	0.642803154	7	0.400174643
7	0.842442787	7	0.859500921	7	0.812740931	7	0.733586825	7	0.692840387	7	0.433136852
7	0.848042716	7	0.865450916	7	0.817728611	7	0.784638718	7	0.663885958	7	0.451187136
7	0.83706484	7	0.859766511	7	0.834274404	7	0.796941286	7	0.687917178	7	0.45157901
7.25	0.855398944	7.25	0.859746959	7.25	0.826464749	7.25	0.784415827	7.25	0.560153014	7.25	0.327171184
7.25	0.839437293	7.25	0.856444968	7.25	0.839176494	7.25	0.789043715	7.25	0.62028535	7.25	0.336168111
7.25	0.864890546	7.25	0.8649163	7.25	0.835403181	7.25	0.774255384	7.25	0.63929292	7.25	0.396070308
7.25	0.841836325	7.25	0.860805906	7.25	0.840979354	7.25	0.775652001	7.25	0.673465504	7.25	0.430194935
7.25	0.855000881	7.25	0.871905884	7.25	0.836234667	7.25	0.75879419	7.25	0.70658339	7.25	0.455177316
7.25	0.861691693	7.25	0.880272735	7.25	0.829875818	7.25	0.805449488	7.25	0.711046526	7.25	0.479129992
7.25	0.847682783	7.25	0.868322991	7.25	0.837577988	7.25	0.819385523	7.25	0.693866929	7.25	0.475157108
7.5	0.8696773	7.5	0.870501093	7.5	0.84616734	7.5	0.799121824	7.5	0.591083713	7.5	0.374582674
7.5	0.872435517	7.5	0.866193671	7.5	0.840762791	7.5	0.804176502	7.5	0.639248157	7.5	0.365632349
7.5	0.852501397	7.5	0.873214229	7.5	0.854002769	7.5	0.78607005	7.5	0.664643769	7.5	0.42243395
7.5	0.854989186	7.5	0.86582936	7.5	0.84816863	7.5	0.802945361	7.5	0.693499737	7.5	0.467981768
7.5	0.869416927	7.5	0.879394852	7.5	0.843503182	7.5	0.775769488	7.5	0.742847013	7.5	0.497683316
7.5	0.867716474	7.5	0.885238896	7.5	0.84175117	7.5	0.819207305	7.5	0.728183557	7.5	0.512158294
7.5	0.866277474	7.5	0.875369504	7.5	0.853816387	7.5	0.8346581	7.5	0.7091688	7.5	0.526903946
7.75	0.8835642	7.75	0.885370602	7.75	0.855192221	7.75	0.814499793	7.75	0.617505113	7.75	0.396985477
7.75	0.866213875	7.75	0.87992403	7.75	0.868407425	7.75	0.81696057	7.75	0.666401294	7.75	0.391747218
7.75	0.886668874	7.75	0.881538045	7.75	0.86235889	7.75	0.814021896	7.75	0.689453478	7.75	0.462359603
7.75	0.867318306	7.75	0.875073184	7.75	0.861974937	7.75	0.806128117	7.75	0.714923628	7.75	0.487665119
7.75	0.875818796	7.75	0.897559361	7.75	0.863604368	7.75	0.789455192	7.75	0.747243721	7.75	0.507719574
7.75	0.883452827	7.75	0.895875909	7.75	0.862566257	7.75	0.835677895	7.75	0.749431218	7.75	0.517603115
