CsgA-lowconc.txt: 7 uM X	CsgA-lowconc.txt: 7 uM Y	CsgA-lowconc.txt: 6 uM X	CsgA-lowconc.txt: 6 uM Y	CsgA-lowconc.txt: 5 uM X	CsgA-lowconc.txt: 5 uM Y	CsgA-lowconc.txt: 4 uM X	CsgA-lowconc.txt: 4 uM Y	CsgA-lowconc.txt: 3 uM X	CsgA-lowconc.txt: 3 uM Y	CsgA-lowconc.txt: 2 uM X	CsgA-lowconc.txt: 2 uM Y
5.25	0.040843376408	5.25	-0.0489062245879	5.25	-0.069526605038	5.25	-0.0552956586517	5.25	-0.0772965151455	5.25	0.0178407482227
5.25	0.018335134688	5.25	-0.0488117196989	5.25	-0.053619088621	5.25	-0.100314872743	5.25	-0.0590489298025	5.25	0.0138740374527
5.25	0.044589677843	5.25	-0.0502270805899	5.25	-0.076295944886	5.25	-0.121578137624	5.25	-0.0775028223075	5.25	-0.00251738202231
5.5	0.0407262074987	5.5	-0.0225361893487	5.5	-0.0457973186157	5.5	-0.0686050008061	5.5	0.0677886289512	5.5	0.112639058948
5.5	0.0631580485977	5.5	-0.0241825004217	5.5	-0.0519653812207	5.5	-0.0728692015801	5.5	-0.0104780429598	5.5	0.101079715557
5.5	0.0501774508497	5.5	-0.0281352227757	5.5	-0.0625578381867	5.5	-0.0675466426261	5.5	-0.0103168692898	5.5	0.083082034698
5.5	0.0265934978677	5.5	-0.0250915763457	5.5	-0.0672329864757	5.5	-0.0616251305921	5.5	-0.0313118321248	5.5	0.055410573655
5.5	0.0457927777487	5.5	-0.0454179080737	5.5	-0.0487518110617	5.5	-0.0353033191601	5.5	-0.0827413359828	5.5	0.031793614983
5.5	0.0428158416247	5.5	-0.0439433782057	5.5	-0.0585263843687	5.5	-0.0952235381981	5.5	-0.0652079713648	5.5	0.00373730612397
5.5	0.0458325216687	5.5	-0.0433091262887	5.5	-0.0735383877997	5.5	-0.121412094125	5.5	-0.0840001799158	5.5	0.014917007805
5.75	0.0336184314226	5.75	-0.0330485722391	5.75	-0.0617894326934	5.75	-0.0744619221489	5.75	0.0772846288373	5.75	0.126897259975
5.75	0.0429786707456	5.75	-0.0316336803791	5.75	-0.0579191943844	5.75	-0.0757801170379	5.75	-0.0139572666227	5.75	0.108190613451
5.75	0.0505364237656	5.75	-0.0293761438901	5.75	-0.0569964876064	5.75	-0.0672889660479	5.75	-0.0138409713947	5.75	0.0828086119254
5.75	0.0234694316726	5.75	-0.0322409467711	5.75	-0.0689460697924	5.75	-0.0289999553589	5.75	-0.0352244245587	5.75	0.0560683981124
5.75	0.0381751759826	5.75	-0.0425563316241	5.75	-0.0522280385954	5.75	-0.0684039461039	5.75	-0.0904948100687	5.75	0.0259683175364
5.75	0.0338626332176	5.75	-0.0511489368631	5.75	-0.0521054857574	5.75	-0.108474950388	5.75	-0.0697554340757	5.75	-0.000372004642622
