CsgA-lowconc.txt: 7 uM X	CsgA-lowconc.txt: 7 uM Y	CsgA-lowconc.txt: 6 uM X	CsgA-lowconc.txt: 6 uM Y	CsgA-lowconc.txt: 5 uM X	CsgA-lowconc.txt: 5 uM Y	CsgA-lowconc.txt: 4 uM X	CsgA-lowconc.txt: 4 uM Y	CsgA-lowconc.txt: 3 uM X	CsgA-lowconc.txt: 3 uM Y	CsgA-lowconc.txt: 2 uM X	CsgA-lowconc.txt: 2 uM Y
5.0	0.0443509790379	5.0	-0.0302368746715	5.0	-0.0366046894222	5.0	-0.0102515212364	5.0	-0.00651660090476	5.0	0.0730226019959
5.0	0.0238885761079	5.0	-0.0504504894345	5.0	-0.0417044216252	5.0	-0.0408742227224	5.0	-0.0505642539648	5.0	0.0452749055069
5.0	0.0374918588089	5.0	-0.0491877337395	5.0	-0.0621295529212	5.0	-0.0708781985164	5.0	-0.0456128432448	5.0	0.0204485750269
5.0	0.0517953374329	5.0	-0.0561167828425	5.0	-0.0567806962982	5.0	-0.104368366323	5.0	-0.0350730153348	5.0	0.0337512976039
5.25	0.0297388667858	5.25	-0.0317616156792	5.25	-0.0421093616468	5.25	-0.0435346735552	5.25	0.0810940723799	5.25	0.114860631945
5.25	0.0527366059108	5.25	-0.0328128867402	5.25	-0.0503360565578	5.25	-0.0556790722482	5.25	0.00389421344791	5.25	0.103521043125
5.25	0.0398124713528	5.25	-0.0402753053732	5.25	-0.0503268134458	5.25	-0.0464015380252	5.25	0.0110666123219	5.25	0.0854020155329
5.25	0.0397541932718	5.25	-0.0346453049992	5.25	-0.0392057082118	5.25	-0.0173027061932	5.25	-0.0102096451451	5.25	0.0691294770949
5.25	0.0353376482118	5.25	-0.0492831287982	5.25	-0.0642924792988	5.25	-0.0445741455942	5.25	-0.0622939476041	5.25	0.0342025845659
5.25	0.0128294064918	5.25	-0.0491886239092	5.25	-0.0483849628818	5.25	-0.0895933596852	5.25	-0.0440463622611	5.25	0.0302358737959
5.25	0.0390839496468	5.25	-0.0506039848002	5.25	-0.0710618191468	5.25	-0.110856624566	5.25	-0.0625002547661	5.25	0.0138444543209
5.5	0.0331754874456	5.5	-0.0248676610405	5.5	-0.0421489495702	5.5	-0.0588000660646	5.5	0.0827681498834	5.5	0.129827862303
5.5	0.0556073285446	5.5	-0.0265139721135	5.5	-0.0483170121752	5.5	-0.0630642668386	5.5	0.00450147797244	5.5	0.118268518912
5.5	0.0426267307966	5.5	-0.0304666944675	5.5	-0.0589094691412	5.5	-0.0577417078846	5.5	0.00466265164244	5.5	0.100270838053
5.5	0.0190427778146	5.5	-0.0274230480375	5.5	-0.0635846174302	5.5	-0.0518201958506	5.5	-0.0163323111926	5.5	0.07259937701
5.5	0.0382420576956	5.5	-0.0477493797655	5.5	-0.0451034420162	5.5	-0.0254983844186	5.5	-0.0677618150506	5.5	0.048982418338
5.5	0.0352651215716	5.5	-0.0462748498975	5.5	-0.0548780153232	5.5	-0.0854186034566	5.5	-0.0502284504326	5.5	0.020926109479
5.5	0.0382818016156	5.5	-0.0456405979805	5.5	-0.0698900187542	5.5	-0.111607159384	5.5	-0.0690206589836	5.5	0.03210581116
5.75	0.0241151617332	5.75	-0.0373599206852	5.75	-0.0598631354267	5.75	-0.065783082372	5.75	0.0920311140685	5.75	0.144790828014
5.75	0.0334754010562	5.75	-0.0359450288252	5.75	-0.0559928971177	5.75	-0.067101277261	5.75	0.000789218608506	5.75	0.12608418149
