Time (hrs)	seed 0nM	seed 0nM	seed 0nM	seed 1nM	seed 1nM	seed 1nM	seed 10nM	seed 10nM	seed 10nM	seed 100nM	seed 100nM	seed 100nM
15.33	78.783	77.647	79.637	77.94	75.186	75.475	75.38	75.195	71.972	70.749	73.386	67.406
15.42	78.949	79.315	79.766	77.204	75.645	76.66	74.415	76.033	72.801	70.546	73.839	66.644
15.50	79.263	79.959	79.781	78.134	76.086	76.812	76.23	75.273	72.012	71.053	73.904	68.175
15.58	78.848	78.949	79.493	78.19	75.505	77.759	76.192	75.698	74.139	70.623	73.882	67.041
15.67	79.51	77.989	79.285	77.825	75.974	77.241	75.792	75.07	72.794	70.646	74.035	67.957
15.75	78.709	79.293	78.467	77.495	75.211	77.087	74.428	75.26	71.354	70.125	72.09	67.543
15.83	78.614	79.471	80.01	77.851	76.651	77.805	74.868	75.781	72.542	70.569	72.678	66.913
15.92	79.147	78.68	78.971	78.914	74.536	77.059	73.94	74.532	71.367	70.523	73.121	67.321
16.00	78.632	78.953	79.35	78.157	75.376	78.067	75.93	75.353	72.266	70.983	73.503	67.568
16.08	77.768	79.149	79.931	77.913	75.912	79.273	74.897	75.988	72.719	69.865	72.964	66.344
16.17	79.305	77.963	80.464	77.292	74.403	77.299	74.799	76.315	71.704	70.351	73.16	66.556
16.25	78.172	78.599	78.345	78.629	75.281	75.307	76.36	75.659	71.748	70.575	72.988	66.914
16.33	77.768	77.68	78.331	78.215	75.323	76.193	74.61	73.529	71.122	70.632	72.044	66.629
16.42	78.493	80.037	79.223	76.866	74.371	75.767	75.454	73.486	71.491	70.672	73.353	66.448
16.50	78.421	79.938	80.346	78.924	75.753	76.295	74.332	75.166	71.661	71.673	72.785	66.962
16.58	78.189	78.692	79.492	77.793	76.289	76.494	75.057	75.249	71.933	70.483	73.516	66.904
16.67	79.329	78.177	78.668	75.824	74.114	79.39	76.028	74.627	72.07	71.652	72.671	67.501
16.75	78.106	77.565	79.634	77.702	75.063	79.299	76.712	74.356	70.472	71.302	72.925	67.859
